path,rec_id,label
42847_3.pkl,42847,xenus cinereus
42847_9.pkl,42847,xenus cinereus
42847_20.pkl,42847,xenus cinereus
42847_15.pkl,42847,xenus cinereus
42847_17.pkl,42847,xenus cinereus
42847_0.pkl,42847,xenus cinereus
42847_23.pkl,42847,xenus cinereus
21232_1.pkl,21232,elanus caeruleus
21232_0.pkl,21232,elanus caeruleus
21232_2.pkl,21232,elanus caeruleus
21232_3.pkl,21232,elanus caeruleus
393509_1.pkl,393509,falco naumanni
393509_0.pkl,393509,falco naumanni
393509_3.pkl,393509,falco naumanni
393509_9.pkl,393509,falco naumanni
393509_5.pkl,393509,falco naumanni
393509_6.pkl,393509,falco naumanni
393509_4.pkl,393509,falco naumanni
393509_8.pkl,393509,falco naumanni
393509_7.pkl,393509,falco naumanni
393509_2.pkl,393509,falco naumanni
189231_2.pkl,189231,acrocephalus arundinaceus
189231_1.pkl,189231,acrocephalus arundinaceus
189231_0.pkl,189231,acrocephalus arundinaceus
381759_4.pkl,381759,merops persicus
381759_0.pkl,381759,merops persicus
381759_5.pkl,381759,merops persicus
381759_1.pkl,381759,merops persicus
381759_2.pkl,381759,merops persicus
381759_6.pkl,381759,merops persicus
381759_3.pkl,381759,merops persicus
45943_4.pkl,45943,chroicocephalus genei
45943_0.pkl,45943,chroicocephalus genei
45943_5.pkl,45943,chroicocephalus genei
45943_6.pkl,45943,chroicocephalus genei
45943_3.pkl,45943,chroicocephalus genei
45943_1.pkl,45943,chroicocephalus genei
45943_7.pkl,45943,chroicocephalus genei
45943_8.pkl,45943,chroicocephalus genei
45943_2.pkl,45943,chroicocephalus genei
46820_20.pkl,46820,leucophaeus pipixcan
46820_19.pkl,46820,leucophaeus pipixcan
46820_16.pkl,46820,leucophaeus pipixcan
46820_0.pkl,46820,leucophaeus pipixcan
46820_21.pkl,46820,leucophaeus pipixcan
46820_18.pkl,46820,leucophaeus pipixcan
46820_3.pkl,46820,leucophaeus pipixcan
46820_23.pkl,46820,leucophaeus pipixcan
46820_13.pkl,46820,leucophaeus pipixcan
46820_7.pkl,46820,leucophaeus pipixcan
46820_9.pkl,46820,leucophaeus pipixcan
46820_10.pkl,46820,leucophaeus pipixcan
46820_27.pkl,46820,leucophaeus pipixcan
46820_14.pkl,46820,leucophaeus pipixcan
46820_25.pkl,46820,leucophaeus pipixcan
46820_5.pkl,46820,leucophaeus pipixcan
46820_4.pkl,46820,leucophaeus pipixcan
46820_22.pkl,46820,leucophaeus pipixcan
46820_2.pkl,46820,leucophaeus pipixcan
46820_1.pkl,46820,leucophaeus pipixcan
46820_12.pkl,46820,leucophaeus pipixcan
46820_6.pkl,46820,leucophaeus pipixcan
46820_11.pkl,46820,leucophaeus pipixcan
46820_8.pkl,46820,leucophaeus pipixcan
46820_26.pkl,46820,leucophaeus pipixcan
46820_17.pkl,46820,leucophaeus pipixcan
46820_15.pkl,46820,leucophaeus pipixcan
46820_24.pkl,46820,leucophaeus pipixcan
30890_1.pkl,30890,porzana porzana
30890_0.pkl,30890,porzana porzana
367886_0.pkl,367886,apus apus
367886_4.pkl,367886,apus apus
367886_2.pkl,367886,apus apus
367886_1.pkl,367886,apus apus
367886_3.pkl,367886,apus apus
192800_5.pkl,192800,iduna pallida
192800_3.pkl,192800,iduna pallida
192800_4.pkl,192800,iduna pallida
192800_2.pkl,192800,iduna pallida
192800_1.pkl,192800,iduna pallida
192800_0.pkl,192800,iduna pallida
130957_0.pkl,130957,lanius senator
130957_9.pkl,130957,lanius senator
130957_8.pkl,130957,lanius senator
130957_1.pkl,130957,lanius senator
130957_7.pkl,130957,lanius senator
130957_3.pkl,130957,lanius senator
130957_4.pkl,130957,lanius senator
130957_5.pkl,130957,lanius senator
130957_6.pkl,130957,lanius senator
130957_2.pkl,130957,lanius senator
18492_8.pkl,18492,ixobrychus minutus
18492_4.pkl,18492,ixobrychus minutus
18492_9.pkl,18492,ixobrychus minutus
18492_10.pkl,18492,ixobrychus minutus
18492_11.pkl,18492,ixobrychus minutus
18492_3.pkl,18492,ixobrychus minutus
18492_1.pkl,18492,ixobrychus minutus
18492_12.pkl,18492,ixobrychus minutus
18492_0.pkl,18492,ixobrychus minutus
18492_2.pkl,18492,ixobrychus minutus
18492_7.pkl,18492,ixobrychus minutus
18492_6.pkl,18492,ixobrychus minutus
18492_5.pkl,18492,ixobrychus minutus
161117_0.pkl,161117,parus major
193990_18.pkl,193990,locustella lanceolata
193990_5.pkl,193990,locustella lanceolata
193990_8.pkl,193990,locustella lanceolata
193990_0.pkl,193990,locustella lanceolata
193990_1.pkl,193990,locustella lanceolata
193990_9.pkl,193990,locustella lanceolata
193990_10.pkl,193990,locustella lanceolata
193990_7.pkl,193990,locustella lanceolata
193990_16.pkl,193990,locustella lanceolata
193990_15.pkl,193990,locustella lanceolata
193990_12.pkl,193990,locustella lanceolata
193990_11.pkl,193990,locustella lanceolata
193990_2.pkl,193990,locustella lanceolata
193990_6.pkl,193990,locustella lanceolata
193990_17.pkl,193990,locustella lanceolata
193990_4.pkl,193990,locustella lanceolata
193990_3.pkl,193990,locustella lanceolata
193990_13.pkl,193990,locustella lanceolata
193990_14.pkl,193990,locustella lanceolata
173817_0.pkl,173817,hirundo rustica
129973_2.pkl,129973,lanius collurio
129973_3.pkl,129973,lanius collurio
129973_0.pkl,129973,lanius collurio
129973_1.pkl,129973,lanius collurio
20923_6.pkl,20923,pandion haliaetus
20923_0.pkl,20923,pandion haliaetus
20923_4.pkl,20923,pandion haliaetus
20923_11.pkl,20923,pandion haliaetus
20923_9.pkl,20923,pandion haliaetus
20923_3.pkl,20923,pandion haliaetus
20923_10.pkl,20923,pandion haliaetus
20923_1.pkl,20923,pandion haliaetus
20923_2.pkl,20923,pandion haliaetus
20923_5.pkl,20923,pandion haliaetus
20923_8.pkl,20923,pandion haliaetus
20923_7.pkl,20923,pandion haliaetus
41141_14.pkl,41141,calidris minutilla
41141_1.pkl,41141,calidris minutilla
41141_13.pkl,41141,calidris minutilla
41141_8.pkl,41141,calidris minutilla
41141_7.pkl,41141,calidris minutilla
41141_9.pkl,41141,calidris minutilla
41141_10.pkl,41141,calidris minutilla
41141_5.pkl,41141,calidris minutilla
41141_12.pkl,41141,calidris minutilla
41141_15.pkl,41141,calidris minutilla
41141_2.pkl,41141,calidris minutilla
41141_3.pkl,41141,calidris minutilla
41141_6.pkl,41141,calidris minutilla
41141_4.pkl,41141,calidris minutilla
41141_0.pkl,41141,calidris minutilla
41141_11.pkl,41141,calidris minutilla
151970_0.pkl,151970,bombycilla garrulus
151970_1.pkl,151970,bombycilla garrulus
30761_9.pkl,30761,porzana porzana
30761_7.pkl,30761,porzana porzana
30761_8.pkl,30761,porzana porzana
30761_2.pkl,30761,porzana porzana
30761_1.pkl,30761,porzana porzana
30761_10.pkl,30761,porzana porzana
30761_6.pkl,30761,porzana porzana
30761_0.pkl,30761,porzana porzana
30761_5.pkl,30761,porzana porzana
30761_4.pkl,30761,porzana porzana
30761_3.pkl,30761,porzana porzana
356438_2.pkl,356438,bubo bubo
356438_3.pkl,356438,bubo bubo
356438_0.pkl,356438,bubo bubo
356438_5.pkl,356438,bubo bubo
356438_1.pkl,356438,bubo bubo
356438_4.pkl,356438,bubo bubo
356438_6.pkl,356438,bubo bubo
356438_7.pkl,356438,bubo bubo
24095_7.pkl,24095,milvus milvus
24095_4.pkl,24095,milvus milvus
24095_3.pkl,24095,milvus milvus
24095_2.pkl,24095,milvus milvus
24095_6.pkl,24095,milvus milvus
24095_13.pkl,24095,milvus milvus
24095_10.pkl,24095,milvus milvus
24095_11.pkl,24095,milvus milvus
24095_1.pkl,24095,milvus milvus
24095_8.pkl,24095,milvus milvus
24095_9.pkl,24095,milvus milvus
24095_12.pkl,24095,milvus milvus
24095_0.pkl,24095,milvus milvus
24095_5.pkl,24095,milvus milvus
378036_0.pkl,378036,coracias garrulus
378036_9.pkl,378036,coracias garrulus
378036_12.pkl,378036,coracias garrulus
378036_5.pkl,378036,coracias garrulus
378036_14.pkl,378036,coracias garrulus
378036_1.pkl,378036,coracias garrulus
378036_11.pkl,378036,coracias garrulus
378036_7.pkl,378036,coracias garrulus
378036_2.pkl,378036,coracias garrulus
378036_4.pkl,378036,coracias garrulus
378036_10.pkl,378036,coracias garrulus
378036_8.pkl,378036,coracias garrulus
378036_13.pkl,378036,coracias garrulus
378036_6.pkl,378036,coracias garrulus
378036_3.pkl,378036,coracias garrulus
35166_4.pkl,35166,himantopus himantopus
35166_1.pkl,35166,himantopus himantopus
35166_5.pkl,35166,himantopus himantopus
35166_0.pkl,35166,himantopus himantopus
35166_3.pkl,35166,himantopus himantopus
35166_2.pkl,35166,himantopus himantopus
6203_0.pkl,6203,anas platyrhynchos
6203_1.pkl,6203,anas platyrhynchos
6203_2.pkl,6203,anas platyrhynchos
11211_4.pkl,11211,tetrao urogallus
11211_9.pkl,11211,tetrao urogallus
11211_1.pkl,11211,tetrao urogallus
11211_10.pkl,11211,tetrao urogallus
11211_0.pkl,11211,tetrao urogallus
11211_13.pkl,11211,tetrao urogallus
11211_5.pkl,11211,tetrao urogallus
11211_12.pkl,11211,tetrao urogallus
11211_6.pkl,11211,tetrao urogallus
11211_3.pkl,11211,tetrao urogallus
11211_8.pkl,11211,tetrao urogallus
11211_7.pkl,11211,tetrao urogallus
11211_2.pkl,11211,tetrao urogallus
11211_11.pkl,11211,tetrao urogallus
11211_14.pkl,11211,tetrao urogallus
266995_10.pkl,266995,anthus godlewskii
266995_6.pkl,266995,anthus godlewskii
266995_7.pkl,266995,anthus godlewskii
266995_0.pkl,266995,anthus godlewskii
266995_3.pkl,266995,anthus godlewskii
266995_2.pkl,266995,anthus godlewskii
266995_9.pkl,266995,anthus godlewskii
266995_1.pkl,266995,anthus godlewskii
266995_5.pkl,266995,anthus godlewskii
266995_11.pkl,266995,anthus godlewskii
266995_4.pkl,266995,anthus godlewskii
266995_8.pkl,266995,anthus godlewskii
49728_3.pkl,49728,sterna paradisaea
49728_0.pkl,49728,sterna paradisaea
49728_2.pkl,49728,sterna paradisaea
49728_4.pkl,49728,sterna paradisaea
49728_5.pkl,49728,sterna paradisaea
49728_1.pkl,49728,sterna paradisaea
259935_3.pkl,259935,passer montanus
259935_0.pkl,259935,passer montanus
259935_2.pkl,259935,passer montanus
259935_1.pkl,259935,passer montanus
38261_0.pkl,38261,charadrius alexandrinus
38261_1.pkl,38261,charadrius alexandrinus
38261_2.pkl,38261,charadrius alexandrinus
45447_1.pkl,45447,glareola pratincola
45447_5.pkl,45447,glareola pratincola
45447_3.pkl,45447,glareola pratincola
45447_2.pkl,45447,glareola pratincola
45447_4.pkl,45447,glareola pratincola
45447_0.pkl,45447,glareola pratincola
187954_0.pkl,187954,phylloscopus borealis
50052_5.pkl,50052,chlidonias leucopterus
50052_0.pkl,50052,chlidonias leucopterus
50052_1.pkl,50052,chlidonias leucopterus
50052_3.pkl,50052,chlidonias leucopterus
50052_4.pkl,50052,chlidonias leucopterus
50052_2.pkl,50052,chlidonias leucopterus
50052_6.pkl,50052,chlidonias leucopterus
192615_5.pkl,192615,iduna caligata
192615_24.pkl,192615,iduna caligata
192615_11.pkl,192615,iduna caligata
192615_4.pkl,192615,iduna caligata
192615_9.pkl,192615,iduna caligata
192615_26.pkl,192615,iduna caligata
192615_1.pkl,192615,iduna caligata
192615_17.pkl,192615,iduna caligata
192615_19.pkl,192615,iduna caligata
192615_15.pkl,192615,iduna caligata
192615_6.pkl,192615,iduna caligata
192615_23.pkl,192615,iduna caligata
192615_10.pkl,192615,iduna caligata
192615_8.pkl,192615,iduna caligata
192615_20.pkl,192615,iduna caligata
192615_0.pkl,192615,iduna caligata
192615_22.pkl,192615,iduna caligata
192615_14.pkl,192615,iduna caligata
192615_21.pkl,192615,iduna caligata
192615_13.pkl,192615,iduna caligata
192615_7.pkl,192615,iduna caligata
192615_18.pkl,192615,iduna caligata
192615_2.pkl,192615,iduna caligata
192615_16.pkl,192615,iduna caligata
192615_12.pkl,192615,iduna caligata
192615_25.pkl,192615,iduna caligata
192615_3.pkl,192615,iduna caligata
4510_3.pkl,4510,cygnus cygnus
4510_4.pkl,4510,cygnus cygnus
4510_5.pkl,4510,cygnus cygnus
4510_2.pkl,4510,cygnus cygnus
4510_0.pkl,4510,cygnus cygnus
4510_6.pkl,4510,cygnus cygnus
4510_1.pkl,4510,cygnus cygnus
40340_4.pkl,40340,calidris canutus
40340_1.pkl,40340,calidris canutus
40340_11.pkl,40340,calidris canutus
40340_10.pkl,40340,calidris canutus
40340_7.pkl,40340,calidris canutus
40340_9.pkl,40340,calidris canutus
40340_3.pkl,40340,calidris canutus
40340_5.pkl,40340,calidris canutus
40340_0.pkl,40340,calidris canutus
40340_6.pkl,40340,calidris canutus
40340_12.pkl,40340,calidris canutus
40340_8.pkl,40340,calidris canutus
40340_2.pkl,40340,calidris canutus
3784_3.pkl,3784,anser albifrons
3784_2.pkl,3784,anser albifrons
3784_0.pkl,3784,anser albifrons
3784_1.pkl,3784,anser albifrons
341658_0.pkl,341658,streptopelia turtur
341658_5.pkl,341658,streptopelia turtur
341658_3.pkl,341658,streptopelia turtur
341658_2.pkl,341658,streptopelia turtur
341658_4.pkl,341658,streptopelia turtur
341658_1.pkl,341658,streptopelia turtur
361715_10.pkl,361715,aegolius funereus
361715_7.pkl,361715,aegolius funereus
361715_4.pkl,361715,aegolius funereus
361715_5.pkl,361715,aegolius funereus
361715_1.pkl,361715,aegolius funereus
361715_0.pkl,361715,aegolius funereus
361715_9.pkl,361715,aegolius funereus
361715_8.pkl,361715,aegolius funereus
361715_6.pkl,361715,aegolius funereus
361715_2.pkl,361715,aegolius funereus
361715_3.pkl,361715,aegolius funereus
168200_0.pkl,168200,melanocorypha calandra
168200_5.pkl,168200,melanocorypha calandra
168200_2.pkl,168200,melanocorypha calandra
168200_4.pkl,168200,melanocorypha calandra
168200_3.pkl,168200,melanocorypha calandra
168200_1.pkl,168200,melanocorypha calandra
42037_18.pkl,42037,gallinago media
42037_13.pkl,42037,gallinago media
42037_15.pkl,42037,gallinago media
42037_17.pkl,42037,gallinago media
42037_20.pkl,42037,gallinago media
42037_10.pkl,42037,gallinago media
42037_21.pkl,42037,gallinago media
42037_11.pkl,42037,gallinago media
42037_2.pkl,42037,gallinago media
42037_9.pkl,42037,gallinago media
42037_5.pkl,42037,gallinago media
42037_4.pkl,42037,gallinago media
42037_3.pkl,42037,gallinago media
42037_8.pkl,42037,gallinago media
42037_19.pkl,42037,gallinago media
42037_0.pkl,42037,gallinago media
42037_7.pkl,42037,gallinago media
42037_6.pkl,42037,gallinago media
42037_16.pkl,42037,gallinago media
42037_1.pkl,42037,gallinago media
42037_12.pkl,42037,gallinago media
42037_14.pkl,42037,gallinago media
366003_0.pkl,366003,caprimulgus europaeus
168127_2.pkl,168127,melanocorypha calandra
168127_1.pkl,168127,melanocorypha calandra
168127_3.pkl,168127,melanocorypha calandra
168127_0.pkl,168127,melanocorypha calandra
3876_2.pkl,3876,anser albifrons
3876_1.pkl,3876,anser albifrons
3876_3.pkl,3876,anser albifrons
3876_4.pkl,3876,anser albifrons
3876_5.pkl,3876,anser albifrons
3876_0.pkl,3876,anser albifrons
251730_1.pkl,251730,phoenicurus ochruros
251730_0.pkl,251730,phoenicurus ochruros
251730_2.pkl,251730,phoenicurus ochruros
30706_2.pkl,30706,porzana pusilla
30706_6.pkl,30706,porzana pusilla
30706_5.pkl,30706,porzana pusilla
30706_4.pkl,30706,porzana pusilla
30706_8.pkl,30706,porzana pusilla
30706_7.pkl,30706,porzana pusilla
30706_1.pkl,30706,porzana pusilla
30706_9.pkl,30706,porzana pusilla
30706_0.pkl,30706,porzana pusilla
30706_3.pkl,30706,porzana pusilla
241288_1.pkl,241288,muscicapa striata
241288_2.pkl,241288,muscicapa striata
241288_3.pkl,241288,muscicapa striata
241288_0.pkl,241288,muscicapa striata
44291_0.pkl,44291,tringa totanus
44291_1.pkl,44291,tringa totanus
164319_0.pkl,164319,remiz pendulinus
164319_1.pkl,164319,remiz pendulinus
164319_2.pkl,164319,remiz pendulinus
265158_0.pkl,265158,motacilla flava
265158_2.pkl,265158,motacilla flava
265158_1.pkl,265158,motacilla flava
40702_14.pkl,40702,calidris alba
40702_9.pkl,40702,calidris alba
40702_3.pkl,40702,calidris alba
40702_6.pkl,40702,calidris alba
40702_5.pkl,40702,calidris alba
40702_12.pkl,40702,calidris alba
40702_2.pkl,40702,calidris alba
40702_10.pkl,40702,calidris alba
40702_13.pkl,40702,calidris alba
40702_11.pkl,40702,calidris alba
40702_4.pkl,40702,calidris alba
40702_16.pkl,40702,calidris alba
40702_1.pkl,40702,calidris alba
40702_8.pkl,40702,calidris alba
40702_7.pkl,40702,calidris alba
40702_0.pkl,40702,calidris alba
40702_15.pkl,40702,calidris alba
233175_0.pkl,233175,certhia familiaris
40581_1.pkl,40581,calidris temminckii
40581_2.pkl,40581,calidris temminckii
40581_4.pkl,40581,calidris temminckii
40581_5.pkl,40581,calidris temminckii
40581_0.pkl,40581,calidris temminckii
40581_6.pkl,40581,calidris temminckii
40581_7.pkl,40581,calidris temminckii
40581_3.pkl,40581,calidris temminckii
40581_8.pkl,40581,calidris temminckii
381803_3.pkl,381803,merops persicus
381803_0.pkl,381803,merops persicus
381803_6.pkl,381803,merops persicus
381803_9.pkl,381803,merops persicus
381803_10.pkl,381803,merops persicus
381803_5.pkl,381803,merops persicus
381803_1.pkl,381803,merops persicus
381803_2.pkl,381803,merops persicus
381803_4.pkl,381803,merops persicus
381803_7.pkl,381803,merops persicus
381803_8.pkl,381803,merops persicus
45873_3.pkl,45873,chroicocephalus genei
45873_2.pkl,45873,chroicocephalus genei
45873_1.pkl,45873,chroicocephalus genei
45873_0.pkl,45873,chroicocephalus genei
243894_0.pkl,243894,erithacus rubecula
233676_4.pkl,233676,certhia brachydactyla
233676_0.pkl,233676,certhia brachydactyla
233676_3.pkl,233676,certhia brachydactyla
233676_1.pkl,233676,certhia brachydactyla
233676_2.pkl,233676,certhia brachydactyla
37362_0.pkl,37362,pluvialis squatarola
37362_1.pkl,37362,pluvialis squatarola
37362_2.pkl,37362,pluvialis squatarola
24093_3.pkl,24093,milvus milvus
24093_2.pkl,24093,milvus milvus
24093_1.pkl,24093,milvus milvus
24093_0.pkl,24093,milvus milvus
6235_3.pkl,6235,anas platyrhynchos
6235_2.pkl,6235,anas platyrhynchos
6235_0.pkl,6235,anas platyrhynchos
6235_1.pkl,6235,anas platyrhynchos
368100_7.pkl,368100,apus pallidus
368100_9.pkl,368100,apus pallidus
368100_5.pkl,368100,apus pallidus
368100_8.pkl,368100,apus pallidus
368100_12.pkl,368100,apus pallidus
368100_1.pkl,368100,apus pallidus
368100_2.pkl,368100,apus pallidus
368100_6.pkl,368100,apus pallidus
368100_10.pkl,368100,apus pallidus
368100_0.pkl,368100,apus pallidus
368100_4.pkl,368100,apus pallidus
368100_13.pkl,368100,apus pallidus
368100_3.pkl,368100,apus pallidus
368100_11.pkl,368100,apus pallidus
268680_3.pkl,268680,anthus rubescens
268680_2.pkl,268680,anthus rubescens
268680_1.pkl,268680,anthus rubescens
268680_4.pkl,268680,anthus rubescens
268680_0.pkl,268680,anthus rubescens
146579_2.pkl,146579,pyrrhocorax graculus
146579_1.pkl,146579,pyrrhocorax graculus
146579_0.pkl,146579,pyrrhocorax graculus
146579_4.pkl,146579,pyrrhocorax graculus
146579_3.pkl,146579,pyrrhocorax graculus
146579_5.pkl,146579,pyrrhocorax graculus
16476_5.pkl,16476,podiceps cristatus
16476_0.pkl,16476,podiceps cristatus
16476_6.pkl,16476,podiceps cristatus
16476_1.pkl,16476,podiceps cristatus
16476_2.pkl,16476,podiceps cristatus
16476_4.pkl,16476,podiceps cristatus
16476_3.pkl,16476,podiceps cristatus
16476_7.pkl,16476,podiceps cristatus
45887_1.pkl,45887,chroicocephalus genei
45887_0.pkl,45887,chroicocephalus genei
45887_4.pkl,45887,chroicocephalus genei
45887_3.pkl,45887,chroicocephalus genei
45887_2.pkl,45887,chroicocephalus genei
2818_2.pkl,2818,branta canadensis
2818_3.pkl,2818,branta canadensis
2818_0.pkl,2818,branta canadensis
2818_1.pkl,2818,branta canadensis
15880_1.pkl,15880,tachybaptus ruficollis
15880_0.pkl,15880,tachybaptus ruficollis
192108_5.pkl,192108,acrocephalus palustris
192108_3.pkl,192108,acrocephalus palustris
192108_1.pkl,192108,acrocephalus palustris
192108_0.pkl,192108,acrocephalus palustris
192108_2.pkl,192108,acrocephalus palustris
192108_4.pkl,192108,acrocephalus palustris
18714_0.pkl,18714,nycticorax nycticorax
18714_1.pkl,18714,nycticorax nycticorax
35625_6.pkl,35625,recurvirostra avosetta
35625_3.pkl,35625,recurvirostra avosetta
35625_4.pkl,35625,recurvirostra avosetta
35625_0.pkl,35625,recurvirostra avosetta
35625_1.pkl,35625,recurvirostra avosetta
35625_5.pkl,35625,recurvirostra avosetta
35625_7.pkl,35625,recurvirostra avosetta
35625_2.pkl,35625,recurvirostra avosetta
130944_1.pkl,130944,lanius senator
130944_5.pkl,130944,lanius senator
130944_0.pkl,130944,lanius senator
130944_3.pkl,130944,lanius senator
130944_4.pkl,130944,lanius senator
130944_6.pkl,130944,lanius senator
130944_2.pkl,130944,lanius senator
130944_7.pkl,130944,lanius senator
164269_1.pkl,164269,remiz pendulinus
164269_4.pkl,164269,remiz pendulinus
164269_3.pkl,164269,remiz pendulinus
164269_5.pkl,164269,remiz pendulinus
164269_2.pkl,164269,remiz pendulinus
164269_0.pkl,164269,remiz pendulinus
401588_0.pkl,401588,psittacula krameri
24451_2.pkl,24451,haliaeetus albicilla
24451_1.pkl,24451,haliaeetus albicilla
24451_4.pkl,24451,haliaeetus albicilla
24451_0.pkl,24451,haliaeetus albicilla
24451_3.pkl,24451,haliaeetus albicilla
24451_5.pkl,24451,haliaeetus albicilla
50483_2.pkl,50483,uria aalge
50483_1.pkl,50483,uria aalge
50483_0.pkl,50483,uria aalge
50483_3.pkl,50483,uria aalge
48003_1.pkl,48003,larus cachinnans
48003_5.pkl,48003,larus cachinnans
48003_3.pkl,48003,larus cachinnans
48003_4.pkl,48003,larus cachinnans
48003_2.pkl,48003,larus cachinnans
48003_0.pkl,48003,larus cachinnans
2848_1.pkl,2848,branta canadensis
2848_2.pkl,2848,branta canadensis
2848_3.pkl,2848,branta canadensis
2848_0.pkl,2848,branta canadensis
21925_14.pkl,21925,circaetus gallicus
21925_10.pkl,21925,circaetus gallicus
21925_16.pkl,21925,circaetus gallicus
21925_7.pkl,21925,circaetus gallicus
21925_0.pkl,21925,circaetus gallicus
21925_5.pkl,21925,circaetus gallicus
21925_8.pkl,21925,circaetus gallicus
21925_4.pkl,21925,circaetus gallicus
21925_3.pkl,21925,circaetus gallicus
21925_9.pkl,21925,circaetus gallicus
21925_13.pkl,21925,circaetus gallicus
21925_15.pkl,21925,circaetus gallicus
21925_1.pkl,21925,circaetus gallicus
21925_6.pkl,21925,circaetus gallicus
21925_11.pkl,21925,circaetus gallicus
21925_12.pkl,21925,circaetus gallicus
21925_2.pkl,21925,circaetus gallicus
191527_3.pkl,191527,acrocephalus scirpaceus
191527_1.pkl,191527,acrocephalus scirpaceus
191527_0.pkl,191527,acrocephalus scirpaceus
191527_2.pkl,191527,acrocephalus scirpaceus
129885_2.pkl,129885,lanius cristatus
129885_4.pkl,129885,lanius cristatus
129885_3.pkl,129885,lanius cristatus
129885_5.pkl,129885,lanius cristatus
129885_1.pkl,129885,lanius cristatus
129885_0.pkl,129885,lanius cristatus
361607_0.pkl,361607,aegolius funereus
361607_2.pkl,361607,aegolius funereus
361607_5.pkl,361607,aegolius funereus
361607_7.pkl,361607,aegolius funereus
361607_8.pkl,361607,aegolius funereus
361607_6.pkl,361607,aegolius funereus
361607_1.pkl,361607,aegolius funereus
361607_3.pkl,361607,aegolius funereus
361607_4.pkl,361607,aegolius funereus
192684_11.pkl,192684,iduna rama
192684_13.pkl,192684,iduna rama
192684_8.pkl,192684,iduna rama
192684_10.pkl,192684,iduna rama
192684_2.pkl,192684,iduna rama
192684_12.pkl,192684,iduna rama
192684_4.pkl,192684,iduna rama
192684_1.pkl,192684,iduna rama
192684_7.pkl,192684,iduna rama
192684_3.pkl,192684,iduna rama
192684_6.pkl,192684,iduna rama
192684_0.pkl,192684,iduna rama
192684_5.pkl,192684,iduna rama
192684_9.pkl,192684,iduna rama
210585_0.pkl,210585,sylvia communis
38568_2.pkl,38568,charadrius morinellus
38568_1.pkl,38568,charadrius morinellus
38568_0.pkl,38568,charadrius morinellus
2759_0.pkl,2759,branta canadensis
2759_1.pkl,2759,branta canadensis
40623_8.pkl,40623,calidris temminckii
40623_6.pkl,40623,calidris temminckii
40623_1.pkl,40623,calidris temminckii
40623_4.pkl,40623,calidris temminckii
40623_3.pkl,40623,calidris temminckii
40623_5.pkl,40623,calidris temminckii
40623_7.pkl,40623,calidris temminckii
40623_10.pkl,40623,calidris temminckii
40623_0.pkl,40623,calidris temminckii
40623_9.pkl,40623,calidris temminckii
40623_2.pkl,40623,calidris temminckii
401626_1.pkl,401626,psittacula krameri
401626_2.pkl,401626,psittacula krameri
401626_0.pkl,401626,psittacula krameri
44467_4.pkl,44467,tringa totanus
44467_3.pkl,44467,tringa totanus
44467_0.pkl,44467,tringa totanus
44467_1.pkl,44467,tringa totanus
44467_2.pkl,44467,tringa totanus
179965_2.pkl,179965,phylloscopus bonelli
179965_1.pkl,179965,phylloscopus bonelli
179965_4.pkl,179965,phylloscopus bonelli
179965_0.pkl,179965,phylloscopus bonelli
179965_3.pkl,179965,phylloscopus bonelli
179965_5.pkl,179965,phylloscopus bonelli
191408_1.pkl,191408,acrocephalus scirpaceus
191408_3.pkl,191408,acrocephalus scirpaceus
